1.5926E1	7.2086E-1	4.7523E-1	3.4651E0
1.479E1	-4.2169E0	5.7458E0	1.65E1
1.2437E1	-8.0037E0	-3.3453E0	8.0885E0
8.4422E0	-1.1741E1	6.6589E0	1.3231E1
4.2609E0	-1.2861E1	7.3516E0	-3.9958E-1
3.5446E-1	-1.2908E1	-1.1541E1	5.3707E0
-3.8096E0	-1.1218E1	-4.0372E0	6.3067E0
-6.4903E0	-8.5607E0	1.6648E0	-4.851E0
-7.9974E0	-5.6659E0	-2.9561E0	1.1394E1
-7.7535E0	-2.5656E0	-1.5392E1	1.9305E1
-7.3858E0	-6.4119E-1	7.014E0	6.8732E0
-5.5565E0	8.9007E-1	3.8477E0	5.5608E0
-3.5304E0	1.8409E0	-3.5546E0	-8.3822E0
-2.1725E0	1.7285E0	1.4313E0	-7.5602E0
-1.0695E0	1.2837E0	-8.0727E0	1.5208E1
-1.0696E0	5.167E-1	1.3732E1	4.094E0
-1.8914E0	4.107E-2	1.9819E0	-8.3684E0
-2.1103E0	-4.1308E-1	9.9183E0	-5.9808E-1
-2.6817E0	-2.9265E-1	-3.5439E0	3.9008E0
-3.2191E0	-1.2763E-1	7.4632E0	6.7985E0
-3.3124E0	6.4846E-1	-8.858E0	-1.7703E0
-3.1776E0	1.3969E0	-5.874E-1	8.0118E0
-2.465E0	2.8445E0	-6.1011E-1	-1.0511E1
-1.3948E0	2.9772E0	1.8147E0	-8.5157E-1
-4.9173E-1	3.6315E0	-8.7247E0	1.9546E0
9.3962E-1	3.4127E0	-9.8845E0	4.1332E-1
1.9314E0	3.1136E0	-2.5663E-1	-3.1213E0
2.7549E0	1.9215E0	6.2105E0	2.9293E0
3.2467E0	2.4479E-1	-2.4731E0	1.079E1
3.4445E0	-1.0811E0	1.6856E1	1.2433E1
2.0356E0	-2.0062E0	1.7511E0	-7.2171E-1
1.0813E0	-2.8553E0	1.9648E1	-1.7133E-1
5.617E-2	-2.9364E0	5.5949E0	6.5535E0
-2.105E0	-2.8255E0	-6.5592E0	1.0518E0
-3.0906E0	-1.9843E0	1.1579E1	-4.0671E-1
-3.2804E0	-7.4539E-1	9.0558E-1	3.1701E0
-3.9736E0	6.1474E-1	-4.4682E0	1.0835E1
-3.3875E0	2.6593E0	1.5481E1	8.465E0
-2.4847E0	4.5839E0	-5.1317E0	4.1506E0
-5.4882E-1	5.3559E0	-1.05E1	-9.6151E0
1.0193E0	4.6882E0	6.9336E0	3.157E0
3.0362E0	3.8893E0	2.246E0	8.7194E0
4.1779E0	3.5462E0	1.4116E1	-3.5334E0
5.1522E0	1.6016E0	5.1617E0	-1.1196E1
5.4325E0	-2.3108E-1	8.5057E0	9.6296E-2
4.0547E0	-2.2689E0	-1.4309E1	7.3112E0
3.061E0	-3.4009E0	8.6701E0	-3.8117E0
2.0562E0	-3.8694E0	-1.1229E1	5.7081E0
4.158E-1	-3.8415E0	6.4709E0	8.1803E0
-6.6648E-1	-3.0331E0	-6.3603E0	1.8E0
-1.5225E0	-2.1267E0	-6.1973E0	-1.2533E0
-1.5752E0	-8.4261E-1	1.4471E1	-2.4679E0
-9.3733E-1	4.9346E-1	-1.4226E1	1.3495E0
-9.7583E-1	2.7358E-1	6.9581E0	-4.6835E-1
-1.5657E-1	5.2017E-1	-2.1909E0	1.1571E1
5.4788E-1	-2.1432E-2	-3.3401E0	1.4822E1
-1.079E-2	-2.917E-1	7.5554E-1	9.5582E0
9.3496E-2	-7.3446E-1	-2.9407E0	-6.5798E0
-4.5712E-2	-1.3431E0	-1.2021E0	1.1624E1
-5.6485E-1	-1.2281E0	2.0471E1	-9.4317E0
-1.1914E0	-7.4265E-1	-6.8818E0	1.3926E1
-2.0899E0	2.6072E-1	-1.0466E1	9.285E0
-1.9498E0	7.6378E-1	1.3938E1	8.6177E0
-9.9753E-1	1.4522E0	-7.2314E-1	4.3196E0
-8.3639E-4	2.4914E0	1.3992E1	-5.4022E0
1.1481E0	2.1475E0	-9.6559E0	7.2799E0
2.4333E0	1.9599E0	-6.2115E0	1.1244E1
2.7343E0	9.6824E-1	-1.3041E0	1.2451E1
3.4134E0	1.0088E-1	-1.0417E0	3.5104E0
2.6475E0	-1.7537E0	-1.9864E0	-7.3361E0
2.2427E0	-2.7981E0	-1.9621E1	1.1698E1
1.8629E0	-3.1873E0	3.8804E0	1.3844E0
3.632E-1	-3.4044E0	-5.3498E0	3.0998E0
-8.0876E-1	-3.7689E0	4.9582E0	1.0603E1
-2.2947E0	-3.3552E0	2.109E1	7.1941E-1
-3.5434E0	-2.3117E0	-5.5029E0	-9.0184E0
-4.2868E0	-1.0622E0	-2.0618E1	6.335E0
-4.1705E0	3.1137E-2	-1.2686E1	1.1041E1
-3.886E0	1.6025E0	3.5697E0	1.6269E1
-3.0296E0	2.7649E0	-1.7645E1	7.8224E0
-2.6046E0	3.3997E0	9.2494E0	-1.5052E0
-7.7283E-1	3.198E0	-1.1279E0	-4.4205E0
6.6454E-1	3.3334E0	-7.8342E0	-1.697E1
1.363E0	2.7371E0	-7.267E0	2.9134E0
1.4521E0	2.189E0	5.5094E0	8.513E0
1.4775E0	1.7639E0	1.0325E1	2.9722E1
1.7564E0	8.7028E-1	-4.3532E0	8.9557E-1
1.7197E0	5.6771E-1	-5.2398E0	7.7215E0
1.0043E0	4.9046E-1	1.943E1	-2.0698E0
7.791E-1	3.9833E-1	-2.5883E0	1.8459E1
1.2422E0	7.44E-1	1.401E1	1.3481E1
1.626E0	1.1307E0	1.2251E0	1.9449E0
1.9236E0	6.6568E-1	-6.6916E0	8.4134E0
2.2793E0	1.1559E0	-1.6175E1	-2.7103E-1
2.5118E0	5.1972E-1	-1.1897E0	-1.8791E0
3.1636E0	-8.5489E-1	8.5972E0	1.2969E1
2.7413E0	-1.2303E0	-6.1561E0	1.186E1
2.4745E0	-2.0978E0	2.0788E1	-1.1369E1
1.5792E0	-2.51E0	-3.9964E0	-2.2997E0
4.5851E-1	-3.187E0	2.6983E0	1.6191E1
-5.4037E-1	-3.6232E0	1.3656E-1	-3.6885E0
-1.7012E0	-2.9593E0	1.1732E0	2.2241E1
-2.1858E0	-2.3928E0	-1.027E1	2.5376E-1
-2.6762E0	-1.6692E0	-2.6488E0	4.769E0
-2.7807E0	-1.1033E-1	-2.1745E1	3.7483E0
-2.6121E0	1.6141E0	4.8699E0	6.5822E-1
-1.6208E0	1.9937E0	2.4224E1	7.2924E0
-6.8785E-1	2.2406E0	-3.5302E0	-1.4332E1
9.084E-2	2.3015E0	-4.5337E0	1.3417E0
1.2273E0	1.9604E0	-1.8768E1	-6.1999E0
1.8614E0	1.3939E0	-1.7655E0	1.9364E1
1.8135E0	5.5833E-1	-1.4855E1	7.1491E0
9.9141E-1	-6.7096E-1	1.306E1	7.4737E0
7.034E-1	-1.7488E0	1.261E1	1.1029E1
3.2605E-1	-1.7991E0	5.4304E0	1.048E1
-9.7046E-1	-1.1494E0	8.7399E0	4.5892E0
-1.7588E0	-7.7768E-1	-3.8358E0	5.2817E0
-2.0368E0	-4.4536E-1	-1.6202E1	-1.1752E1
-2.2341E0	1.0452E0	1.1324E0	1.5396E0
-1.8852E0	2.1144E0	-1.093E1	1.37E1
